Priorità,ISBN,Titolo,Sottotitolo,Autore,Formato,Pagine,Editore,Data di edizione,Nota privata
"Medio","[9788815033604]","Da sudditi a cittadini","Le vie dello Stato e le vie della societa civile (Studi e ricerche)","Giovanna Zincone","Altri","321","Il Mulino","[1992-01-01]",""
"Medio","[9788842815419]","Roba nostra","Storia di soldi, politica, giustizia nel sistema del malaffare","Carlo Vulpio","Altri","254","Il Saggiatore","[2008-01-01]",""
"Basso","[9788804555629]","Il dito e la luna","Racconti zen, haiku, koan","Alejandro Jodorowsky","Altri","173","Mondadori","[2006-01-01]",""
"Alto","[9788804531951]","Alla ricerca della stupidità","20 anni di disastri hi-tech","Chapman Merril R.","Altri","320","Mondadori Informatica","[2004-01-01]",""
"Medio","[9788874350568]","Il codice segreto dei Samurai","Hagakure","Yamamoto Tsunetomo","Altri","195","Luni","[2004-01-01]",""
"Medio","[9788879288248]","Io non compro","Un anno senza acquisti: un'esperienza per riflettere sul potere del mercato","Judith Levine","Altri","243","Ponte alle Grazie","[2006-01-01]",""
"Medio","[9788876151842]","Manuale dello scroccone","Come vivere bene senza pagare","Giuseppe Lagan","Altri","164","Castelvecchi","",""
"Medio","[9788844029586]","Duecento modi per risparmiare 2000 euro l'anno","","Andrea Benedet","Paperback","256","Giunti Demetra","[2004-01-01]",""
"Medio","[9788876151439]","Vivere semplice","Come spendere bene quel poco che ci è rimasto ed essere felici","Mazza Antonio","Paperback","217","Castelevcchi","[2000-01-01]",""
"Medio","[9788879722285]","Semplice abbondanza","Una guida giornaliera al benessere e alla gioia","Sarah Ban Breathnach","Copertina rigida","","","[1997-01-01]",""
"Medio","[9788845260452]","Mele","","Richard Milward","Paperback","243","Bompiani","[2008-xx-xx]",""
"Medio","[9788887307528]","Comunità e decrescita","Critica della ragion mercantile dal sistema dei consumi globali alla civiltà dell'economia globale","Alain De Benoist","Altri","224","Arianna Editrice","[2005-01-01]",""
"Medio","[9788806180522]","La giostra dei criceti","","Antonio Manzini","Paperback","242","Einaudi (Stile Libero Noir)","[2007-xx-xx]",""
"Medio","[9788842814870]","Fine pena mai","Quanto ti costano i tempi dei processi anche se non metti mai piede in un tribunale","Luigi Ferrarella","Altri","","Il Saggiatore","[2008-01-01]",""
"Medio","[9788807017278]","Barbablù","","Kurt Vonnegut","Copertina morbida e spillati","239","Feltrinelli","[2007-01-01]",""
"Medio","","Walden","ovvero la vita nei boschi","Henry D. Thoreau","Copertina morbida e spillati","314","Biblioteca Universale Rizzoli","[1964-10-01]",""
"Medio","[9788804555414]","I vagabondi del Dharma","","Jack Kerouac","Altri","272","Mondadori","[2006-01-01]",""
"Medio","","La famiglia Robinson","","Johann David Wyss","Copertina rigida","246","Arnoldo Mondadori Editore","[1983-01-01]",""
"Medio","[9788845249570]","Come trattare gli altri e farseli amici","","Dale Carnegie","Paperback","262","Bompiani (Tascabili Bompiani, 120)","[2001-01-01]",""
"Medio","","Furore","","John Steinbeck","Paperback","491","Bompiani","[1963-01-01]",""
"Medio","[9788879834742]","La ricchezza delle nazioni","","Adam Smith","Altri","834","Newton & Compton","[2005-01-01]",""
"Medio","[9788806296605]","Il giovane Holden","","J.D. Salinger","Tascabile economico","248","Einaudi (Gli struzzi; 6)","[1970-xx-xx]",""
"Medio","[9788804493044]","Il grande Gatsby","","Francis Scott Fitzgerald","Paperback","272","Arnoldo Mondadori (Oscar classici moderni)","[2001-01-xx]",""
"Medio","[9788854106918]","I fratelli Karamazov","","Fedor M. Dostoevskij","Paperback","752","Newton & Compton","[2007-01-01]",""
"Medio","[9788884901279]","Il nudo e il morto","","Norman Mailer","Altri","864","Baldini Castoldi Dalai","[2002-01-01]",""
"Medio","[9788849403435]","Cyrano de Bergerac","","Edmond Rostand","Altri","80","Petrini Editore","",""
"Medio","[9788804487784]","Tropico del Cancro","","Henry Miller","Paperback","382","Arnoldo Mondadori Editore","[2000-09-01]",""
"Medio","[9788817680370]","La sottile linea rossa","","James Jones","Altri","499","Rizzoli","[1999-01-01]",""
"Medio","[9788804495871]","La valle dell'Eden","","John Steinbeck","Altri","680","Mondadori","[2001-01-01]",""
"Medio","[9788804420972]","Il lupo della steppa","","Hermann Hesse","Paperback","194","Mondadori","[1996-11-26]",""
"Medio","[9788806177065]","Delitto e castigo","","Fedor M. Dostoevskij","Paperback","654","Einaudi (ET, 121)","[2005-01-01]",""
"Medio","[9788875200091]","Cronache anarchiche","Dall'America e dai confini del mondo","Denis Johnson","Altri","261","Alet Edizioni","[2005-01-01]",""
"Medio","[9788806149390]","Meridiano di sangue","","Cormac McCarthy","Paperback","343","Einaudi","[1998-01-01]",""
"Medio","[9788875214845]","In territorio nemico","","SIC - Scrittura Industriale Collettiva","Paperback","308","Minimum Fax (Nichel)","[2013-04-xx]",""
"Medio","[9788809777965]","Day hospital","","Valerio Evangelisti","Paperback","112","Giunti (Italiana)","[2013-04-24]",""
"Medio","[9788806210755]","Point Lenana","","Roberto Santachiara, Wu Ming 1","Paperback","596","Einaudi (Stile Libero Big)","[2013-04-xx]",""
"Medio","[9788806195526]","Educazione siberiana","","Nicolai Lilin","Copertina rigida","347","Einaudi (Supercoralli)","[2009-03-01]",""
"Medio","[9788806211202]","La pattuglia dell'alba","","Don Winslow","Paperback","366","Einaudi (Super ET)","[2012-03-01]",""
"Medio","[9788895029658]","Amianto","Una storia operaia","Alberto Prunetti","Paperback","160","Agenzia X","[2012-11-28]",""
"Medio","","Il Linguaggio delle Pietre","Alla scoperta dell'Italia megalitica","Furio Jesi","Copertina rigida","206","Rizzoli","[1978-01-01]",""
"Medio","[9788806117757]","Materiali mitologici","Mito e antropologia nella cultura mitteleuropea","Furio Jesi","Paperback","342","Einaudi (Piccola Biblioteca, 363)","[1979-02-01]",""
"Medio","[9788874522835]","Cultura di destra","Con tre inediti e un'intervista","Furio Jesi","Paperback","297","Nottetempo","[2011-03-01]",""
"Medio","","La festa","Antropologia, etnologia, folklore","","Tascabile economico","215","Rosenberg & Sellier","[1977-06-01]",""
"Medio","[9788815147103]","Il futuro alle spalle","","Hannah Arendt","Altri","180","","[1981-01-01]",""
"Medio","[9788896238639]","Delta blues","","Kaizen","Paperback","272","Edizioni Ambiente (Verdenero Romanzi)","[2010-10-20]",""
"Medio","[9780691155814]","Against Security","How We Go Wrong at Airports, Subways, and Other Sites of Ambiguous Danger","Harvey L. Molotch","Copertina rigida","278","Princeton University Press","[2012-08-26]",""
"Medio","[9788842089896]","Attenti al sondaggio!","","Paolo Natale","Altri","","Laterza","",""
"Medio","[9788883531705]","La spirale del silenzio","Per una teoria dell'opinione pubblica","Elisabeth Noelle-Neumann","Altri","432","Meltemi","[2002-01-01]",""
"Medio","","Antistoria degli Italiani","","Giordano Bruno Guerri","Paperback","","","",""
"Medio","[9788804403005]","Paria dei cieli","","Isaac Asimov","Paperback","256","Mondadori (Oscar Bestsellers)","[1995-01-01]",""
"Medio","[9788882468439]","Paddy Clarke ah ah ah!","","Roddy Doyle","Altri","285","Guanda","[2005-01-01]",""
"Medio","[9788882461867]","Cacciatori di teste","","John King","Altri","336","Guanda","[2000-01-01]",""
"Medio","[9788807818196]","Licenziare i padroni?","","Massimo Mucchetti","Paperback","249","Feltrinelli","[2004-01-01]",""
"Medio","[9788845266522]","Il centenario che saltò dalla finestra e scomparve","","Jonas Jonasson","Paperback","446","Bompiani","[2011-04-06]",""
"Medio","[9788861900127]","Prepariamoci","A vivere in un mondo con meno risorse, meno energia, meno abbondanza... e forse più felicità","Luca Mercalli","Paperback","224","Chiarelettere","[2011-05-01]",""
"Medio","[9788876414954]","A rotta di collo","","Valerio Aiolli","Altri","224","E/O","[2002-01-01]",""
"Medio","[9788861903777]","Banchieri & compari","Come malafinanza e cattivo capitalismo si mangiano i soldi dei risparmiatori","Gianni Dragoni","Paperback","154","Chiarelettere (Principioattivo)","[2012-11-22]",""
"Medio","[9788806156985]","Educazione di una canaglia","","Edward Bunker","Paperback","523","Einaudi (Tascabili stile libero, 990)","[2002-05-xx]",""
"Medio","[9788807810770]","Il bar sotto il mare","","Stefano Benni","Paperback","198","Feltrinelli (Universale Economica, 1077)","[1989-06-xx]",""
"Medio","[9788870630930]","La guida del giovane papà","","Jean-Louis Festjens, Pierre Antilogus","Altri","230","EDT","[1991-01-01]",""
"Medio","[9788804414773]","Ulisse","","James Joyce","Paperback","1048","Mondadori (Oscar Classici Moderni)","[2000-01-01]",""
"Medio","[9788884903334]","Uno zoo lungo la strada","","Tom Robbins","Altri","175","Baldini Castoldi Dalai","[2003-01-01]",""
"Medio","[9788804382133]","Paradiso perduto","","Henry Miller","Altri","179","Mondadori","",""
"Medio","[9788817165624]","Timore e tremore","Aut-Aut (Diapsalmata)","Søren Kierkegaard","Paperback","192","BUR Biblioteca Univ. Rizzoli","[1994-01-01]",""
"Medio","[9788884909749]","Il Gallo di Ferro","In treno attraverso la Cina","Paul Theroux","Altri","","Baldini Castoldi Dalai","[2006-01-01]",""
"Medio","[9788845247491]","Il pendolo di Foucault","","Umberto Eco","Paperback","687","Bompiani (Bestseller 142)","[1988-01-01]",""
"Medio","[9788804466789]","Tracce","","Gary Paulsen","Copertina rigida","126","Mondadori","[1999-04-01]",""
"Medio","","Medium","","Giuseppe Genna","Paperback","","Lulu.com","[2007-03-01]",""
"Medio","[9788895029207]","Roma K.O.","Romanzo d'amore droga e odio di classe","Marco Philopat, Duka","Altri","222","Agenzia X","[2008-01-01]",""
"Medio","[9788888865058]","I viaggi di Mel","","Marco Philopat","Altri","319","Shake","[2004-01-01]",""
"Medio","[9788872267967]","Fedeli alla roba","Romanzo di un naufragio generazionale","Bruno Panebarco","Altri","270","Nuovi Equilibri","[2004-01-01]",""
"Medio","[9788888738499]","Miccia corta","Una storia di Prima linea","Sergio Segio","Altri","256","DeriveApprodi","[2005-01-01]",""
"Medio","[9788804573005]","Vicini da morire","La strage di Erba e il nord Italia divorato dalla paura","Pino Corrias","Altri","","Mondadori","[2007-10-16]",""
"Medio","[9788817018425]","Bilal","Il mio viaggio da infiltrato nel mercato dei nuovi schiavi","Fabrizio Gatti","Copertina morbida e spillati","493","Rizzoli","[2007-10-31]",""
"Medio","[9788879289382]","Slow travel","Alla ricerca del lusso di perdere tempo","Gaia De Pascale","Altri","","Ponte alle Grazie","[2008-01-01]",""
"Medio","[9788811740803]","Meritocrazia","Quattro proposte concrete per valorizzare il talento e rendere il nostro paese più ricco e più giusto","Roger Abravanel","Altri","","Garzanti Libri","[2008-01-01]",""
"Medio","[9788875780142]","Tutto, e di più","Storia compatta dell'infinito","David Foster Wallace","Paperback","262","Codice","[2005-01-01]",""
"Medio","[9788887765342]","Verso Occidente l'Impero dirige il suo corso","","David Foster Wallace","Paperback","217","Minimum Fax","[2001-04-01]",""
"Medio","[9788874966714]","Taccuino di una sbronza","","Paolo Roversi","Copertina rigida","192","Kowalski","[2008-09-04]",""
"Medio","[9788846200037]","Congo","","Michael Crichton","Paperback","384","Superpocket (Superpocket Bestseller)","[1997-01-01]",""
"Medio","[9788811660989]","Sol levante","","Michael Crichton","Altri","416","Garzanti Libri","[1992-01-01]",""
"Medio","[9780201616224]","The Pragmatic Programmer","From Journeyman to Master","David Thomas, Andy Hunt","Paperback","352","Pearson Education (US)","[1999-10-20]",""
"Medio","[9788807840173]","C'era una volta l'amore ma ho dovuto ammazzarlo","","Efraim Medina Reyes","Paperback","173","Feltrinelli (Super UE Feltrinelli)","[2002-06-01]",""
"Medio","[9788806160012]","Il declino delle guerre civili americane","","George Saunders","Tascabile economico","171","Einaudi","[2005-02-xx]",""
"Medio","","Autobiografia di Emma Goldman","Vivendo la mia vita. Volume I (1889-1899)","Emma Goldman","Altri","223","La Salamandra","[1980-01-01]",""
"Medio","[9780962959172]","The Teenage Liberation Handbook","How to Quit School and Get a Real Life and Education","Grace Llewellyn","Paperback","435","Lowry House Pub","[1998-09-01]",""
"Medio","[9781931498555]","A Language Older Than Words","","Derrick Jensen","Paperback","412","Chelsea Green","[2004-03-01]",""
"Medio","[9781583227305]","Endgame","Volume 1: The Problem of Civilization","Derrick Jensen","Paperback","528","Seven Stories Press","[2006-06-01]",""
"Medio","[9781583227770]","As the World Burns","50 Simple Things You Can Do to Stay in Denial","Derrick Jensen","Paperback","220","Seven Stories Press","[2007-11-19]",""
"Medio","[9788842807315]","Ishmael","","Daniel Quinn","Copertina rigida","240","Il Saggiatore","[1999-01-01]",""
"Medio","[9788885378414]","Assata","Un'autobiografia","Assata Shakur","Altri","448","Massari","[1992-01-01]",""
"Medio","[9780201835953]","The Mythical Man-Month","Essays on Software Engineering, 20th  Anniversary Edition","Frederick P. Brooks","Paperback","336","Addison-Wesley Professional","[1995-08-02]",""
"Medio","[9781556159008]","Rapid Development","","Steve McConnell","Paperback","680","Microsoft Press","[1996-07-02]",""
"Medio","[9780672326141]","The Inmates Are Running the Asylum","Why High Tech Products Drive Us Crazy and How to Restore the Sanity (2nd Edition)","Alan Cooper","Paperback","288","Sams","[2004-02-24]",""
"Medio","[9788809743793]","The giver","Il donatore","Lois Lowry","Copertina rigida","249","Giunti (Y)","[2010-xx-xx]",""
"Medio","[9781558605824]","GUI Bloopers","Don'ts and Do's for Software Developers and Web Designers (The Morgan Kaufmann Series in Interactive Technologies)","Johnson, Jeff Johnson, Jeff VanderMeer","Paperback","584","Morgan Kaufmann","[2000-03-17]",""
"Medio","[9788842914365]","Una stanza piena di gente","Un uomo, 24 personalità: la storia vera che ha sconvolto l'America","Daniel Keyes","Paperback","541","Nord (Fuori collana)","[2009-01-01]",""
"Medio","[9788804524656]","Il paese delle pazze risate","","Jonathan Carroll","Paperback","263","Arnoldo Mondadori (Strade blu)","[2004-01-01]",""
"Medio","[9788807814525]","Istruzioni per rendersi infelici","","Paul Watzlawick","Paperback","112","Feltrinelli","[1997-01-01]",""
"Medio","[9780735619678]","Code Complete","Second Edition","Steve McConnell","Paperback","960","Microsoft Press","[2004-06-01]",""
"Medio","[9781562058104]","Designing Web Usability","The Practice of Simplicity","Jakob Nielsen","Paperback","432","Peachpit Press","[1999-12-20]",""
"Medio","[9788863072884]","Persi nel vuoto","","Vincenzo Malara","Altri","","Zerounoundici","",""
"Medio","[9788861900301]","Toghe rotte","","","Paperback","181","Chiarelettere (Reverse)","[2007-09-01]",""
"Medio","[9788879530613]","Il grande inganno","La banda del partito-azienda berlusconiano raccontata da un ex deputato di ""Forza Italia"".","Caccavale Michele","Altri","215","Kaos Edizioni","[1997-04-01]",""
"Medio","[9788817023771]","Ecofollie. Per uno sviluppo (in)sostenibile. Con DVD","","Milena Gabanelli","Altri","","BUR Biblioteca Univ. Rizzoli","",""
"Medio","[9788895200057]","Milano è un'arma","","Francesco Gallone","Tascabile economico","263","Eclissi","[2008-02-01]",""
"Medio","[9788854114302]","Roma noir","Credi davvero di conoscere la Capitale?","Cristiano Armati","Paperback","239","Newton Compton (Noir)","[2009-02-01]",""
"Alto","","Ritorno al passato","La fine dell'era del petrolio e il futuro che ci attende","Andrea Bizzocchi","Tascabile economico","","Libro Autoprodotto","",""
"Medio","[9788887913408]","Bubba Ho-Tep","","Joe R. Lansdale","Altri","96","Addictions-Magenes Editoriale","[2004-01-01]",""
"Medio","[9788817025492]","Prevedibilmente irrazionale","","Dan Ariely","Copertina rigida","294","Rizzoli","[2008-01-01]",""
"Medio","[9788804584766]","Zulu","","Caryl Férey","Paperback","347","","",""
"Alto","[9788854109148]","La compagna P38","Il romanzo delle Brigate Rosse","Dario Morgante","Paperback","240","Newton Compton","[2007-11-01]",""
"Medio","","Lo Stato falsario","Ecco cosa i governi hanno fatto ai nostri soldi","Murray Rothbard","Tascabile economico","112","Leonardo Facco Editore","",""
"Medio","[9788860300706]","L' oceano borderline","Racconti di viaggi","Luigi Cancrini","Altri","31","Cortina Raffaello","[2006-01-01]",""
"Medio","[9788860888662]","Irlandese al 57%","","Roddy Doyle","Paperback","282","Guanda","[2009-06-xx]",""
"Medio","[9788876418686]","Mele marce","Marbella Noir","Juan Madrid","Paperback","261","Edizioni e/o","[2009-07-03]",""
"Medio","[9788887658835]","La ballata del Corazza","","Wu Ming, Onofrio Catacchio","Altri","48","Edizioni BD","[2005-01-01]",""
"Medio","[9788888775036]","Ti chiamerò Russel","Romanzo totale 2002","Wu Ming","Altri","120","Corso Bacchilega","[2002-01-01]",""
"Medio","[9788878195561]","Buonanotte, signor Lenin","","Tiziano Terzani","Altri","423","TEA","[1994-01-01]",""
"Medio","[9788854502970]","Risorse umane","","Antonio Ortuño","Altri","165","Neri Pozza","[2008-01-01]",""
"Medio","[9788806187767]","Sway","","Zachary Lazar","Copertina morbida e spillati","269","Einaudi","[2009-01-01]",""
"Medio","[9788804506539]","Il grande nulla","","James Ellroy","Altri","461","Mondadori","[2002-01-01]",""
"Medio","[9788804399971]","White Jazz","","James Ellroy","Paperback","381","Mondadori","[1995-01-01]",""
"Medio","[9788817033046]","La resa del conto. Confessioni di un cameriere senza pietà","","Steve Dublanica","Altri","","Rizzoli","",""
"Medio","[9788807816383]","In ogni caso nessun rimorso","","Pino Cacucci","Paperback","308","Feltrinelli (Universale Economica Feltrinelli; 1638)","[2001-01-01]",""
"Medio","[9788889014561]","Fuoco!","","Giancarlo De Cataldo","Paperback","232","Edizioni Ambiente","[2007-xx-xx]",""
"Medio","[9788896238042]","Vite spericolate","","Patrick Fogli","Paperback","203","Ambiente","[2009-05-01]",""
"Medio","[9788842089971]","SOS economia","Ovvero la crisi spiegata ai comuni mortali","Fabrizio Galimberti","Paperback","154","Laterza","[2009-03-01]",""
"Medio","[9788815062376]","Euforia irrazionale","Analisi dei boom di borsa","Robert J. Shiller","Altri","344","Il Mulino","[2000-01-01]",""
"Medio","[9788889091470]","Un gioco vecchio come il mondo","Il mondo segreto dei sicari dell'economia e della rete globale della corruzione","","Paperback","388","Nuovi Mondi Media","[2008-07-xx]",""
"Medio","[9788854108486]","Islampunk","","Michael Muhammad Knight","Paperback","317","Newton & Compton","[2007-06-01]",""
"Medio","[9788804566960]","Scorciatoie per l'inferno","Storie vere dal mondo del crimine","","Paperback","370","A. Mondadori (Strade blu)","[2007-01-01]",""
"Medio","[9788804528555]","Il karma del gorilla","","Sandrone Dazieri","Paperback","293","Mondadori","[2006-01-01]",""
"Medio","[9788804545248]","La legge del bar e altre comiche","","Francesco Guccini","Paperback","110","Mondadori","[2005-01-01]",""
"Medio","[9788804588757]","Il genio criminale","Storie di spie, ladri e truffatori","Carlo Lucarelli, Massimo Picozzi","Paperback","202","Mondadori","[2009-04-01]",""
"Medio","[9788830426269]","Mafia Pulita","","Elio Veltri, Antonio Laudati","Paperback","251","Longanesi & C.","[2009-06-01]",""
"Medio","[9788807815454]","Fluo","Storie di giovani a Riccione","Isabella Santacroce","Tascabile economico","116","Feltrinelli","[1999-05-xx]",""
"Medio","[9788806182656]","Parti in fretta e non tornare","","Fred Vargas","Paperback","334","Einaudi","[2006-01-01]",""
"Medio","[9788820037444]","La stanza di Ali Baba","Storie di un Iraq sconosciuto","Valerio Pellizzari","Altri","245","Sperling & Kupfer","[2004-01-01]",""
"Medio","[9788806176365]","Lunar Park","","Bret Easton Ellis","Copertina rigida","336","Einaudi (Supercoralli)","[2005-10-xx]",""
"Medio","[9788806194123]","Schiavi contemporanei","Un viaggio nella barbarie","Benjamin E. Skinner","Paperback","400","Einaudi","[2009-05-01]",""
